project_id,snapshot_date,role_id,role,location_type,location,resource_count,allocated_fte,avg_experience_years,allocation_percent,allocation_start_date,allocation_end_date,rate_per_day,planned_effort,planned_cost
4,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
4,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
4,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
4,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
4,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
4,2025-12-01,26,Python Developer,Offshore,Offshore,5,5,5.5,100,2025-11-01,2026-05-30,1000,800,800000
4,2025-12-01,25,Python Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1100,160,176000
4,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
4,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
5,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
5,2025-12-01,23,Java Developer,Onsite,Onsite,2,2,5.5,100,2025-11-01,2026-05-30,1000,320,320000
5,2025-12-01,6,Manual Tester,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
5,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
5,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
6,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
6,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
6,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
6,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
6,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
6,2025-12-01,26,Python Developer,Offshore,Offshore,7,7,5.5,100,2025-11-01,2026-05-30,1000,1120,1120000
6,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
6,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
7,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
7,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
7,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
7,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
7,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
7,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
7,2025-12-01,39,SAP Consultant,Offshore,Offshore,6,6,9.0,100,2025-11-01,2026-05-30,1100,960,1056000
7,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
8,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
8,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
8,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
8,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
8,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
8,2025-12-01,26,Python Developer,Offshore,Offshore,10,10,5.5,100,2025-11-01,2026-05-30,1000,1600,1600000
8,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
8,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
9,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
9,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
9,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
9,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
9,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
9,2025-12-01,26,Python Developer,Offshore,Offshore,9,9,5.5,100,2025-11-01,2026-05-30,1000,1440,1440000
9,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
9,2025-12-01,29,React Developer,Offshore,Offshore,9,9,5.5,100,2025-11-01,2026-05-30,950,1440,1368000
9,2025-12-01,27,React Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1050,160,168000
9,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
10,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
10,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
10,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
10,2025-12-01,23,Java Developer,Offshore,Offshore,11,11,5.5,100,2025-11-01,2026-05-30,1000,1760,1760000
10,2025-12-01,21,Java Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1100,160,176000
10,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
10,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
10,2025-12-01,26,Python Developer,Offshore,Offshore,1,1,5.5,100,2025-11-01,2026-05-30,1000,160,160000
10,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
10,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
11,2025-12-01,7,Automation Tester,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
11,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
11,2025-12-01,6,Manual Tester,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
11,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
11,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
11,2025-12-01,39,SAP Consultant,Onsite,Onsite,3,3,9.0,100,2025-11-01,2026-05-30,1100,480,528000
12,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
12,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
12,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
12,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
12,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
12,2025-12-01,26,Python Developer,Offshore,Offshore,6,6,5.5,100,2025-11-01,2026-05-30,1000,960,960000
12,2025-12-01,25,Python Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1100,160,176000
12,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
12,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
13,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
13,2025-12-01,6,Manual Tester,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
13,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
13,2025-12-01,26,Python Developer,Onsite,Onsite,2,2,5.5,100,2025-11-01,2026-05-30,1000,320,320000
13,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
14,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
14,2025-12-01,6,Manual Tester,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
14,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
14,2025-12-01,26,Python Developer,Onsite,Onsite,2,2,5.5,100,2025-11-01,2026-05-30,1000,320,320000
14,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
15,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
15,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
15,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
15,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
15,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
15,2025-12-01,26,Python Developer,Offshore,Offshore,9,9,5.5,100,2025-11-01,2026-05-30,1000,1440,1440000
15,2025-12-01,25,Python Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1100,160,176000
15,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
15,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
16,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
16,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
16,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
16,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
16,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
16,2025-12-01,26,Python Developer,Offshore,Offshore,5,5,5.5,100,2025-11-01,2026-05-30,1000,800,800000
16,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
16,2025-12-01,29,React Developer,Offshore,Offshore,5,5,5.5,100,2025-11-01,2026-05-30,950,800,760000
16,2025-12-01,27,React Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1050,160,168000
16,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
17,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
17,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
17,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
17,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
17,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
17,2025-12-01,26,Python Developer,Offshore,Offshore,1,1,5.5,100,2025-11-01,2026-05-30,1000,160,160000
17,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
17,2025-12-01,39,SAP Consultant,Offshore,Offshore,10,10,9.0,100,2025-11-01,2026-05-30,1100,1600,1760000
17,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
18,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
18,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
18,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
18,2025-12-01,23,Java Developer,Offshore,Offshore,4,4,5.5,100,2025-11-01,2026-05-30,1000,640,640000
18,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
18,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
18,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
19,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
19,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
19,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
19,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
19,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
19,2025-12-01,26,Python Developer,Offshore,Offshore,4,4,5.5,100,2025-11-01,2026-05-30,1000,640,640000
19,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
19,2025-12-01,29,React Developer,Offshore,Offshore,4,4,5.5,100,2025-11-01,2026-05-30,950,640,608000
20,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
20,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
20,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
20,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
20,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
20,2025-12-01,26,Python Developer,Offshore,Offshore,8,8,5.5,100,2025-11-01,2026-05-30,1000,1280,1280000
20,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
20,2025-12-01,29,React Developer,Offshore,Offshore,8,8,5.5,100,2025-11-01,2026-05-30,950,1280,1216000
20,2025-12-01,27,React Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1050,160,168000
20,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
21,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
21,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
21,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
21,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
21,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
21,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
21,2025-12-01,39,SAP Consultant,Offshore,Offshore,4,4,9.0,100,2025-11-01,2026-05-30,1100,640,704000
21,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
22,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
22,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
22,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
22,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
22,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
22,2025-12-01,26,Python Developer,Offshore,Offshore,10,10,5.5,100,2025-11-01,2026-05-30,1000,1600,1600000
22,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
22,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
23,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
23,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
23,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
23,2025-12-01,23,Java Developer,Offshore,Offshore,11,11,5.5,100,2025-11-01,2026-05-30,1000,1760,1760000
23,2025-12-01,21,Java Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1100,160,176000
23,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
23,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
23,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
23,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
24,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
24,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
24,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
24,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
24,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
24,2025-12-01,26,Python Developer,Offshore,Offshore,11,11,5.5,100,2025-11-01,2026-05-30,1000,1760,1760000
24,2025-12-01,25,Python Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1100,160,176000
24,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
24,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
25,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
25,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
25,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
25,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
25,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
25,2025-12-01,26,Python Developer,Offshore,Offshore,5,5,5.5,100,2025-11-01,2026-05-30,1000,800,800000
25,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
25,2025-12-01,29,React Developer,Offshore,Offshore,5,5,5.5,100,2025-11-01,2026-05-30,950,800,760000
25,2025-12-01,27,React Lead,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1050,160,168000
25,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
26,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
26,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
26,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
26,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
26,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
26,2025-12-01,26,Python Developer,Offshore,Offshore,9,9,5.5,100,2025-11-01,2026-05-30,1000,1440,1440000
26,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
26,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
27,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
27,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
27,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
27,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
27,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
27,2025-12-01,26,Python Developer,Offshore,Offshore,9,9,5.5,100,2025-11-01,2026-05-30,1000,1440,1440000
27,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
27,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
28,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
28,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
28,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
28,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
28,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
28,2025-12-01,26,Python Developer,Offshore,Offshore,5,5,5.5,100,2025-11-01,2026-05-30,1000,800,800000
28,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
28,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
29,2025-12-01,7,Automation Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,800,160,128000
29,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
29,2025-12-01,36,DevOps Engineer,Offshore,Offshore,1,1,7.0,100,2025-11-01,2026-05-30,950,160,152000
29,2025-12-01,6,Manual Tester,Offshore,Offshore,1,1,6.0,100,2025-11-01,2026-05-30,750,160,120000
29,2025-12-01,1,PM,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1200,160,192000
29,2025-12-01,34,QA Lead,Onsite,Onsite,1,1,6.0,100,2025-11-01,2026-05-30,900,160,144000
29,2025-12-01,39,SAP Consultant,Offshore,Offshore,4,4,9.0,100,2025-11-01,2026-05-30,1100,640,704000
29,2025-12-01,18,Solution Architect,Onsite,Onsite,1,1,9.0,100,2025-11-01,2026-05-30,1300,160,208000
30,2025-12-01,2,BA,Onsite,Onsite,1,1,7.0,100,2025-11-01,2026-05-30,1000,160,160000
