CR_ID,Project_ID,CR_Category,Severity,Estimated_Effort_Hours,Actual_Effort_Hours,Schedule_Impact_Days,Resource_Impact_FTE,Root_Cause,Environment_Found
PRJ0004_CR09,PRJ0004,Compliance,Low,75,640,27,2.1,Client Scope Change,UAT
PRJ0004_CR10,PRJ0004,Scope,Critical,480,620,12,1.6,Production Defect,DEV
PRJ0005_CR01,PRJ0005,Defect,Medium,95,55,2,1.6,Production Defect,PROD
PRJ0005_CR02,PRJ0005,Scope,Critical,232,674,36,1.4,Production Defect,UAT
PRJ0005_CR03,PRJ0005,Enhancement,Medium,95,35,6,4.0,Missed Dependency,DEV
PRJ0005_CR04,PRJ0005,Enhancement,Low,305,285,7,2.6,Production Defect,PROD
PRJ0005_CR05,PRJ0005,Compliance,Critical,333,546,27,4.2,Compliance Change,UAT
PRJ0005_CR06,PRJ0005,Defect,Critical,250,295,15,4.3,Client Scope Change,PROD
PRJ0006_CR01,PRJ0006,Scope,Critical,323,607,42,0.6,Production Defect,DEV
PRJ0006_CR02,PRJ0006,Enhancement,Medium,45,296,24,2.0,Production Defect,UAT
PRJ0006_CR03,PRJ0006,Compliance,Critical,162,461,16,4.3,Production Defect,DEV
PRJ0006_CR04,PRJ0006,Scope,High,134,695,4,4.0,Requirement Gap,DEV
PRJ0006_CR05,PRJ0006,Defect,Medium,449,50,39,1.2,Missed Dependency,UAT
PRJ0006_CR06,PRJ0006,Scope,Medium,258,292,23,1.3,Compliance Change,PROD
PRJ0006_CR07,PRJ0006,Scope,Medium,179,140,37,0.6,Client Scope Change,PROD
PRJ0006_CR08,PRJ0006,Enhancement,Critical,386,233,4,3.2,Missed Dependency,DEV
PRJ0006_CR09,PRJ0006,Compliance,Low,427,609,2,2.1,Production Defect,PROD
PRJ0006_CR10,PRJ0006,Compliance,Low,279,693,21,0.6,Production Defect,UAT
PRJ0006_CR11,PRJ0006,Scope,Critical,205,680,29,3.7,Production Defect,DEV
PRJ0007_CR01,PRJ0007,Compliance,Critical,158,343,16,1.5,Missed Dependency,UAT
PRJ0007_CR02,PRJ0007,Scope,Medium,118,251,30,1.7,Compliance Change,PROD
PRJ0007_CR03,PRJ0007,Compliance,Low,446,228,18,1.5,Missed Dependency,UAT
PRJ0007_CR04,PRJ0007,Scope,Medium,160,76,3,3.0,Missed Dependency,PROD
PRJ0007_CR05,PRJ0007,Enhancement,Low,466,42,36,1.8,Production Defect,UAT
PRJ0007_CR06,PRJ0007,Compliance,Medium,46,288,30,1.0,Requirement Gap,UAT
PRJ0007_CR07,PRJ0007,Enhancement,Low,315,674,43,0.7,Missed Dependency,PROD
PRJ0008_CR01,PRJ0008,Compliance,Critical,83,509,44,1.9,Production Defect,UAT
PRJ0008_CR02,PRJ0008,Enhancement,Critical,61,642,2,4.5,Client Scope Change,PROD
PRJ0008_CR03,PRJ0008,Compliance,Low,66,264,43,4.3,Compliance Change,PROD
PRJ0008_CR04,PRJ0008,Scope,High,315,71,11,2.6,Production Defect,UAT
PRJ0008_CR05,PRJ0008,Defect,Critical,345,533,5,2.6,Production Defect,UAT
PRJ0008_CR06,PRJ0008,Compliance,Low,459,194,21,2.4,Production Defect,UAT
PRJ0008_CR07,PRJ0008,Enhancement,Low,252,120,20,1.6,Requirement Gap,UAT
PRJ0008_CR08,PRJ0008,Scope,Critical,231,85,12,2.8,Compliance Change,UAT
PRJ0008_CR09,PRJ0008,Enhancement,Low,124,303,35,1.1,Client Scope Change,UAT
PRJ0008_CR10,PRJ0008,Enhancement,Low,34,675,38,4.1,Missed Dependency,UAT
PRJ0008_CR11,PRJ0008,Scope,Critical,67,260,7,2.6,Requirement Gap,PROD
PRJ0009_CR01,PRJ0009,Defect,High,465,132,28,0.9,Production Defect,DEV
PRJ0009_CR02,PRJ0009,Defect,Critical,465,700,9,0.8,Client Scope Change,UAT
PRJ0010_CR01,PRJ0010,Enhancement,High,121,423,30,1.0,Production Defect,PROD
PRJ0010_CR02,PRJ0010,Compliance,High,378,332,1,4.9,Production Defect,UAT
PRJ0010_CR03,PRJ0010,Scope,Low,486,650,31,4.2,Client Scope Change,DEV
PRJ0010_CR04,PRJ0010,Compliance,Medium,345,224,39,1.6,Missed Dependency,PROD
PRJ0010_CR05,PRJ0010,Scope,Low,178,481,2,3.1,Missed Dependency,DEV
PRJ0010_CR06,PRJ0010,Compliance,High,402,455,11,1.4,Compliance Change,UAT
PRJ0011_CR01,PRJ0011,Enhancement,Medium,473,454,41,0.9,Production Defect,PROD
PRJ0011_CR02,PRJ0011,Enhancement,High,36,409,13,2.5,Missed Dependency,UAT
PRJ0011_CR03,PRJ0011,Scope,High,298,690,22,0.8,Client Scope Change,DEV
PRJ0011_CR04,PRJ0011,Scope,Critical,66,247,41,3.4,Requirement Gap,DEV
PRJ0011_CR05,PRJ0011,Compliance,Medium,84,608,13,0.8,Compliance Change,DEV
PRJ0011_CR06,PRJ0011,Defect,Medium,188,181,38,0.5,Missed Dependency,DEV
PRJ0011_CR07,PRJ0011,Compliance,Medium,76,56,8,0.6,Missed Dependency,PROD
PRJ0011_CR08,PRJ0011,Compliance,Low,109,301,3,1.1,Production Defect,PROD
PRJ0011_CR09,PRJ0011,Scope,Low,263,489,23,2.8,Requirement Gap,UAT
PRJ0011_CR10,PRJ0011,Defect,Low,392,563,19,2.6,Requirement Gap,DEV
PRJ0012_CR01,PRJ0012,Enhancement,High,467,463,3,4.9,Compliance Change,UAT
PRJ0012_CR02,PRJ0012,Compliance,Low,315,549,13,1.2,Production Defect,DEV
PRJ0012_CR03,PRJ0012,Scope,High,452,599,23,1.0,Client Scope Change,PROD
PRJ0013_CR01,PRJ0013,Defect,Critical,326,86,0,1.4,Missed Dependency,DEV
PRJ0013_CR02,PRJ0013,Compliance,High,187,152,0,2.7,Production Defect,DEV
PRJ0014_CR01,PRJ0014,Defect,Medium,328,186,41,0.8,Production Defect,UAT
PRJ0014_CR02,PRJ0014,Enhancement,High,462,672,20,1.2,Requirement Gap,UAT
PRJ0014_CR03,PRJ0014,Enhancement,High,427,311,37,0.8,Compliance Change,DEV
PRJ0014_CR04,PRJ0014,Compliance,Critical,251,68,3,2.2,Client Scope Change,DEV
PRJ0014_CR05,PRJ0014,Scope,Critical,256,624,35,4.8,Requirement Gap,UAT
PRJ0014_CR06,PRJ0014,Defect,High,329,517,32,1.2,Requirement Gap,UAT
PRJ0015_CR01,PRJ0015,Enhancement,High,29,401,19,1.3,Missed Dependency,UAT
PRJ0015_CR02,PRJ0015,Enhancement,Medium,135,170,9,0.8,Requirement Gap,PROD
PRJ0015_CR03,PRJ0015,Scope,High,468,662,8,3.2,Missed Dependency,DEV
PRJ0016_CR01,PRJ0016,Compliance,Medium,217,113,23,1.5,Client Scope Change,DEV
PRJ0016_CR02,PRJ0016,Compliance,Medium,90,69,18,4.6,Production Defect,PROD
PRJ0016_CR03,PRJ0016,Defect,Critical,249,660,0,4.6,Requirement Gap,UAT
PRJ0016_CR04,PRJ0016,Defect,Medium,300,653,33,2.4,Client Scope Change,DEV
PRJ0016_CR05,PRJ0016,Compliance,Low,44,274,26,3.4,Compliance Change,UAT
PRJ0016_CR06,PRJ0016,Scope,Low,448,541,38,2.9,Compliance Change,PROD
PRJ0016_CR07,PRJ0016,Defect,Medium,169,469,0,3.3,Missed Dependency,PROD
PRJ0016_CR08,PRJ0016,Enhancement,Medium,360,117,33,4.9,Requirement Gap,PROD
PRJ0016_CR09,PRJ0016,Scope,Critical,467,511,2,3.4,Client Scope Change,UAT
PRJ0016_CR10,PRJ0016,Scope,High,423,99,22,1.6,Requirement Gap,PROD
PRJ0017_CR01,PRJ0017,Compliance,High,72,111,20,3.5,Client Scope Change,UAT
PRJ0017_CR02,PRJ0017,Enhancement,Medium,373,484,22,2.5,Client Scope Change,PROD
PRJ0017_CR03,PRJ0017,Enhancement,High,347,88,4,3.5,Production Defect,UAT
PRJ0017_CR04,PRJ0017,Defect,Low,93,652,43,4.0,Requirement Gap,DEV
PRJ0017_CR05,PRJ0017,Scope,Medium,418,690,23,2.1,Compliance Change,DEV
PRJ0017_CR06,PRJ0017,Defect,Critical,209,410,28,3.9,Compliance Change,DEV
PRJ0017_CR07,PRJ0017,Compliance,Critical,180,695,17,1.6,Requirement Gap,DEV
PRJ0017_CR08,PRJ0017,Defect,Critical,285,426,35,1.0,Client Scope Change,PROD
PRJ0017_CR09,PRJ0017,Enhancement,Medium,333,322,44,4.6,Production Defect,DEV
PRJ0017_CR10,PRJ0017,Scope,Medium,456,105,28,1.3,Production Defect,DEV
PRJ0018_CR01,PRJ0018,Compliance,Low,148,231,40,4.8,Client Scope Change,DEV
PRJ0018_CR02,PRJ0018,Compliance,Low,277,686,10,3.2,Compliance Change,DEV
PRJ0018_CR03,PRJ0018,Defect,High,451,607,2,4.2,Requirement Gap,DEV
PRJ0018_CR04,PRJ0018,Scope,High,353,245,36,2.4,Requirement Gap,UAT
PRJ0018_CR05,PRJ0018,Compliance,High,267,280,43,2.3,Production Defect,DEV
PRJ0018_CR06,PRJ0018,Scope,Medium,245,455,30,2.6,Client Scope Change,PROD
PRJ0018_CR07,PRJ0018,Defect,High,461,356,22,4.9,Missed Dependency,UAT
PRJ0019_CR01,PRJ0019,Enhancement,High,442,668,43,3.2,Missed Dependency,DEV
PRJ0019_CR02,PRJ0019,Enhancement,High,426,377,35,4.7,Missed Dependency,DEV
PRJ0019_CR03,PRJ0019,Enhancement,Low,43,69,8,3.7,Production Defect,PROD
PRJ0019_CR04,PRJ0019,Enhancement,Medium,330,557,8,2.0,Compliance Change,UAT
PRJ0019_CR05,PRJ0019,Defect,Critical,335,336,37,2.0,Compliance Change,PROD
PRJ0019_CR06,PRJ0019,Enhancement,High,263,47,23,2.0,Requirement Gap,UAT
PRJ0019_CR07,PRJ0019,Compliance,Low,325,515,16,4.9,Compliance Change,PROD
PRJ0019_CR08,PRJ0019,Defect,Low,318,521,10,2.9,Compliance Change,UAT
PRJ0020_CR01,PRJ0020,Enhancement,Critical,439,383,9,1.8,Client Scope Change,PROD
PRJ0020_CR02,PRJ0020,Scope,High,493,482,41,1.7,Production Defect,DEV
PRJ0020_CR03,PRJ0020,Defect,High,497,605,44,1.7,Requirement Gap,PROD
PRJ0020_CR04,PRJ0020,Defect,Medium,45,573,14,3.4,Requirement Gap,DEV
PRJ0020_CR05,PRJ0020,Enhancement,High,387,513,6,3.6,Missed Dependency,DEV
PRJ0020_CR06,PRJ0020,Defect,Critical,354,517,30,3.4,Client Scope Change,UAT
PRJ0020_CR07,PRJ0020,Compliance,Low,484,121,41,3.1,Compliance Change,PROD
PRJ0020_CR08,PRJ0020,Scope,Medium,233,210,2,5.0,Production Defect,UAT
PRJ0020_CR09,PRJ0020,Defect,High,468,68,0,1.8,Compliance Change,DEV
PRJ0020_CR10,PRJ0020,Compliance,High,252,686,34,2.9,Missed Dependency,PROD
PRJ0021_CR01,PRJ0021,Defect,Medium,88,519,9,2.5,Compliance Change,UAT
PRJ0021_CR02,PRJ0021,Enhancement,Critical,407,580,42,4.2,Missed Dependency,PROD
PRJ0021_CR03,PRJ0021,Scope,Critical,290,400,4,4.6,Requirement Gap,DEV
PRJ0021_CR04,PRJ0021,Defect,Medium,104,365,33,2.5,Missed Dependency,PROD
PRJ0021_CR05,PRJ0021,Enhancement,Low,480,552,28,4.1,Production Defect,DEV
PRJ0021_CR06,PRJ0021,Enhancement,Critical,308,89,35,2.6,Client Scope Change,PROD
PRJ0021_CR07,PRJ0021,Scope,Critical,150,33,13,3.1,Requirement Gap,UAT
PRJ0021_CR08,PRJ0021,Compliance,Low,297,91,4,4.9,Production Defect,DEV
PRJ0021_CR09,PRJ0021,Compliance,Critical,112,168,41,4.9,Production Defect,UAT
PRJ0021_CR10,PRJ0021,Enhancement,Critical,465,416,24,0.9,Compliance Change,DEV
PRJ0021_CR11,PRJ0021,Compliance,Low,111,580,25,2.9,Missed Dependency,DEV
PRJ0022_CR01,PRJ0022,Enhancement,Low,196,688,42,2.2,Compliance Change,UAT
PRJ0022_CR02,PRJ0022,Enhancement,Critical,96,337,24,1.3,Compliance Change,UAT
PRJ0022_CR03,PRJ0022,Defect,Medium,173,177,29,4.6,Compliance Change,UAT
PRJ0022_CR04,PRJ0022,Enhancement,Medium,218,278,16,1.4,Requirement Gap,UAT
PRJ0022_CR05,PRJ0022,Compliance,Low,294,225,3,1.7,Compliance Change,PROD
PRJ0022_CR06,PRJ0022,Scope,Low,116,631,42,3.0,Production Defect,DEV
PRJ0022_CR07,PRJ0022,Compliance,High,485,45,13,4.7,Requirement Gap,PROD
PRJ0022_CR08,PRJ0022,Enhancement,Medium,376,648,45,1.4,Missed Dependency,PROD
PRJ0023_CR01,PRJ0023,Scope,Low,411,36,26,1.1,Missed Dependency,DEV
PRJ0023_CR02,PRJ0023,Defect,Low,131,547,29,2.2,Compliance Change,PROD
PRJ0024_CR01,PRJ0024,Defect,Critical,158,77,4,3.6,Client Scope Change,PROD
PRJ0024_CR02,PRJ0024,Scope,Medium,495,352,1,4.8,Compliance Change,DEV
PRJ0024_CR03,PRJ0024,Enhancement,Low,173,196,36,1.6,Production Defect,PROD
PRJ0024_CR04,PRJ0024,Compliance,Critical,406,173,44,3.8,Compliance Change,PROD
PRJ0024_CR05,PRJ0024,Compliance,Low,70,477,14,4.3,Client Scope Change,PROD
PRJ0025_CR01,PRJ0025,Defect,Medium,370,419,10,1.1,Client Scope Change,UAT
PRJ0025_CR02,PRJ0025,Enhancement,Medium,52,201,27,1.7,Client Scope Change,UAT
PRJ0025_CR03,PRJ0025,Scope,High,148,282,40,2.7,Compliance Change,DEV
PRJ0025_CR04,PRJ0025,Enhancement,Low,89,341,0,4.8,Client Scope Change,PROD
PRJ0025_CR05,PRJ0025,Enhancement,High,245,372,27,4.2,Compliance Change,DEV
PRJ0025_CR06,PRJ0025,Compliance,High,328,235,30,1.9,Production Defect,UAT
PRJ0025_CR07,PRJ0025,Compliance,Critical,314,278,20,2.2,Production Defect,UAT
PRJ0025_CR08,PRJ0025,Scope,Medium,323,588,11,3.6,Compliance Change,DEV
PRJ0025_CR09,PRJ0025,Enhancement,Medium,244,328,44,0.8,Production Defect,PROD
PRJ0025_CR10,PRJ0025,Enhancement,Medium,344,340,15,1.6,Missed Dependency,PROD
PRJ0026_CR01,PRJ0026,Scope,Critical,389,493,20,0.8,Requirement Gap,PROD
PRJ0026_CR02,PRJ0026,Scope,Low,454,381,41,1.0,Missed Dependency,PROD
PRJ0026_CR03,PRJ0026,Defect,Medium,302,193,21,3.0,Production Defect,DEV
PRJ0026_CR04,PRJ0026,Enhancement,Medium,115,685,42,2.4,Requirement Gap,PROD
PRJ0026_CR05,PRJ0026,Defect,Critical,323,469,24,0.5,Missed Dependency,DEV
PRJ0026_CR06,PRJ0026,Compliance,Low,315,134,34,1.3,Client Scope Change,DEV
PRJ0026_CR07,PRJ0026,Enhancement,Low,154,531,33,4.8,Client Scope Change,PROD
PRJ0026_CR08,PRJ0026,Enhancement,Critical,320,146,22,2.1,Production Defect,PROD
PRJ0026_CR09,PRJ0026,Defect,High,490,659,37,0.9,Missed Dependency,UAT
PRJ0027_CR01,PRJ0027,Scope,High,416,586,23,2.9,Requirement Gap,PROD
PRJ0027_CR02,PRJ0027,Enhancement,Medium,237,134,41,3.9,Client Scope Change,DEV
PRJ0027_CR03,PRJ0027,Enhancement,High,198,119,28,4.4,Requirement Gap,DEV
PRJ0028_CR01,PRJ0028,Enhancement,High,455,94,34,2.3,Production Defect,DEV
PRJ0028_CR02,PRJ0028,Enhancement,High,185,320,21,3.0,Missed Dependency,PROD
PRJ0028_CR03,PRJ0028,Enhancement,High,477,79,2,0.9,Production Defect,DEV
PRJ0029_CR01,PRJ0029,Enhancement,High,389,248,40,3.9,Production Defect,PROD
PRJ0029_CR02,PRJ0029,Enhancement,Medium,64,132,8,3.9,Compliance Change,PROD
PRJ0029_CR03,PRJ0029,Enhancement,High,239,352,8,1.6,Requirement Gap,DEV
PRJ0029_CR04,PRJ0029,Compliance,Low,454,338,13,2.8,Compliance Change,DEV
PRJ0030_CR01,PRJ0030,Scope,Medium,64,474,7,2.5,Compliance Change,DEV
PRJ0030_CR02,PRJ0030,Compliance,Medium,81,42,45,1.1,Requirement Gap,DEV
PRJ0030_CR03,PRJ0030,Enhancement,High,287,559,16,1.3,Missed Dependency,PROD
PRJ0030_CR04,PRJ0030,Compliance,Low,414,60,21,4.1,Client Scope Change,PROD
PRJ0030_CR05,PRJ0030,Scope,High,384,620,40,0.8,Production Defect,PROD
PRJ0031_CR01,PRJ0031,Compliance,Critical,415,230,34,3.9,Missed Dependency,DEV
PRJ0031_CR02,PRJ0031,Scope,Critical,32,268,34,2.1,Requirement Gap,UAT
PRJ0031_CR03,PRJ0031,Scope,Critical,454,344,6,1.4,Missed Dependency,UAT
PRJ0031_CR04,PRJ0031,Enhancement,Low,92,316,5,0.7,Missed Dependency,PROD
PRJ0031_CR05,PRJ0031,Enhancement,High,254,116,37,0.9,Missed Dependency,PROD
PRJ0031_CR06,PRJ0031,Enhancement,Low,323,611,3,2.5,Missed Dependency,DEV
PRJ0031_CR07,PRJ0031,Compliance,High,455,352,25,3.7,Client Scope Change,UAT
PRJ0031_CR08,PRJ0031,Enhancement,High,139,106,12,1.1,Compliance Change,DEV
PRJ0031_CR09,PRJ0031,Defect,Low,104,490,29,1.9,Requirement Gap,PROD
PRJ0032_CR01,PRJ0032,Scope,Critical,45,202,36,2.4,Production Defect,UAT
PRJ0032_CR02,PRJ0032,Scope,Critical,369,466,11,2.1,Missed Dependency,UAT
PRJ0032_CR03,PRJ0032,Compliance,Critical,472,182,2,3.3,Compliance Change,DEV
PRJ0033_CR01,PRJ0033,Defect,High,432,397,37,0.6,Client Scope Change,PROD
PRJ0033_CR02,PRJ0033,Defect,Medium,448,534,34,1.9,Production Defect,DEV
PRJ0033_CR03,PRJ0033,Scope,Low,139,646,14,0.6,Production Defect,DEV
PRJ0033_CR04,PRJ0033,Compliance,Medium,432,163,21,3.7,Client Scope Change,DEV
PRJ0034_CR01,PRJ0034,Scope,High,127,285,44,0.8,Client Scope Change,DEV
PRJ0034_CR02,PRJ0034,Scope,Low,217,478,26,4.9,Production Defect,UAT
PRJ0034_CR03,PRJ0034,Enhancement,High,299,414,6,4.2,Compliance Change,PROD
PRJ0034_CR04,PRJ0034,Defect,Medium,251,105,2,1.8,Client Scope Change,UAT
PRJ0034_CR05,PRJ0034,Scope,Low,195,204,24,1.2,Requirement Gap,PROD
PRJ0034_CR06,PRJ0034,Scope,High,324,658,30,3.7,Production Defect,PROD
PRJ0034_CR07,PRJ0034,Defect,Critical,100,84,6,2.0,Missed Dependency,UAT
PRJ0034_CR08,PRJ0034,Compliance,High,172,273,6,0.7,Compliance Change,PROD
PRJ0034_CR09,PRJ0034,Enhancement,Medium,47,399,0,2.4,Client Scope Change,PROD
PRJ0035_CR01,PRJ0035,Defect,Low,407,489,11,4.8,Missed Dependency,DEV
PRJ0035_CR02,PRJ0035,Defect,Medium,41,463,5,4.9,Production Defect,DEV
PRJ0035_CR03,PRJ0035,Defect,High,183,98,5,2.2,Production Defect,PROD
PRJ0035_CR04,PRJ0035,Compliance,High,286,499,0,4.0,Compliance Change,PROD
PRJ0035_CR05,PRJ0035,Enhancement,Low,232,183,9,3.0,Compliance Change,DEV
PRJ0035_CR06,PRJ0035,Scope,Low,422,322,34,4.5,Production Defect,UAT
PRJ0035_CR07,PRJ0035,Enhancement,Critical,312,653,30,0.7,Client Scope Change,UAT
PRJ0035_CR08,PRJ0035,Defect,Critical,39,435,21,3.6,Requirement Gap,PROD
PRJ0035_CR09,PRJ0035,Enhancement,High,479,411,1,2.0,Client Scope Change,UAT
PRJ0035_CR10,PRJ0035,Compliance,Critical,459,130,14,1.1,Production Defect,UAT
PRJ0035_CR11,PRJ0035,Compliance,Critical,329,691,5,1.3,Missed Dependency,UAT
PRJ0036_CR01,PRJ0036,Scope,Low,262,165,41,1.3,Requirement Gap,DEV
PRJ0036_CR02,PRJ0036,Compliance,High,384,688,17,2.4,Production Defect,UAT
PRJ0036_CR03,PRJ0036,Enhancement,High,131,507,19,3.5,Compliance Change,UAT
PRJ0036_CR04,PRJ0036,Scope,Low,281,413,35,3.4,Compliance Change,UAT
PRJ0036_CR05,PRJ0036,Compliance,Low,266,95,21,4.9,Client Scope Change,UAT
PRJ0036_CR06,PRJ0036,Compliance,High,116,183,33,3.9,Requirement Gap,PROD
PRJ0036_CR07,PRJ0036,Enhancement,High,368,173,1,3.4,Client Scope Change,UAT
PRJ0036_CR08,PRJ0036,Enhancement,Critical,218,66,37,3.7,Compliance Change,DEV
PRJ0036_CR09,PRJ0036,Compliance,Medium,371,577,40,4.0,Client Scope Change,PROD
PRJ0036_CR10,PRJ0036,Compliance,Medium,450,601,11,1.8,Production Defect,DEV
PRJ0037_CR01,PRJ0037,Enhancement,Critical,226,469,30,2.2,Requirement Gap,PROD
PRJ0037_CR02,PRJ0037,Defect,High,27,359,33,1.4,Requirement Gap,PROD
PRJ0037_CR03,PRJ0037,Defect,Medium,375,382,19,1.1,Production Defect,PROD
PRJ0037_CR04,PRJ0037,Compliance,Medium,53,76,19,4.8,Production Defect,PROD
PRJ0037_CR05,PRJ0037,Compliance,Critical,474,167,21,5.0,Production Defect,UAT
PRJ0037_CR06,PRJ0037,Defect,Medium,484,443,1,1.5,Missed Dependency,DEV
PRJ0037_CR07,PRJ0037,Scope,Medium,83,405,45,3.4,Requirement Gap,UAT
PRJ0037_CR08,PRJ0037,Compliance,Low,324,79,42,1.0,Requirement Gap,DEV
PRJ0037_CR09,PRJ0037,Scope,Critical,247,419,7,3.0,Production Defect,PROD
PRJ0037_CR10,PRJ0037,Defect,Medium,375,675,0,1.9,Requirement Gap,PROD
PRJ0037_CR11,PRJ0037,Compliance,Medium,234,137,32,3.7,Requirement Gap,UAT
PRJ0038_CR01,PRJ0038,Compliance,Low,210,380,11,1.0,Production Defect,UAT
PRJ0038_CR02,PRJ0038,Compliance,Critical,373,519,26,3.4,Missed Dependency,DEV
PRJ0038_CR03,PRJ0038,Defect,Low,452,193,6,2.4,Compliance Change,UAT
PRJ0038_CR04,PRJ0038,Enhancement,Medium,332,418,22,3.3,Missed Dependency,UAT
PRJ0038_CR05,PRJ0038,Enhancement,Low,474,451,28,0.7,Client Scope Change,PROD
PRJ0038_CR06,PRJ0038,Compliance,Low,380,567,36,3.8,Missed Dependency,PROD
PRJ0038_CR07,PRJ0038,Compliance,Low,241,284,30,2.1,Production Defect,DEV
PRJ0038_CR08,PRJ0038,Scope,Low,349,190,32,4.3,Production Defect,DEV
PRJ0038_CR09,PRJ0038,Scope,Critical,184,276,21,4.9,Requirement Gap,PROD
PRJ0038_CR10,PRJ0038,Defect,Critical,226,270,5,2.6,Compliance Change,UAT
PRJ0038_CR11,PRJ0038,Scope,Critical,248,353,7,4.9,Requirement Gap,DEV
PRJ0039_CR01,PRJ0039,Enhancement,Critical,357,633,32,1.1,Production Defect,DEV
PRJ0039_CR02,PRJ0039,Scope,Critical,449,629,30,4.7,Missed Dependency,PROD
PRJ0039_CR03,PRJ0039,Defect,Medium,73,426,42,3.2,Client Scope Change,PROD
PRJ0040_CR01,PRJ0040,Defect,Low,373,332,13,3.9,Requirement Gap,UAT
PRJ0040_CR02,PRJ0040,Enhancement,Low,335,605,14,3.8,Compliance Change,UAT
PRJ0040_CR03,PRJ0040,Defect,High,374,78,24,2.2,Client Scope Change,PROD
PRJ0040_CR04,PRJ0040,Scope,Low,400,287,12,3.3,Production Defect,DEV
PRJ0040_CR05,PRJ0040,Compliance,Medium,417,228,18,2.5,Requirement Gap,DEV
PRJ0040_CR06,PRJ0040,Defect,Low,213,71,27,1.8,Client Scope Change,DEV
PRJ0041_CR01,PRJ0041,Compliance,High,32,559,23,2.8,Compliance Change,UAT
PRJ0041_CR02,PRJ0041,Enhancement,Low,171,697,12,1.9,Requirement Gap,DEV
PRJ0041_CR03,PRJ0041,Defect,Low,340,97,13,3.5,Missed Dependency,PROD
PRJ0041_CR04,PRJ0041,Enhancement,Low,125,580,44,4.5,Production Defect,PROD
PRJ0041_CR05,PRJ0041,Scope,Medium,32,500,45,2.0,Requirement Gap,DEV
PRJ0041_CR06,PRJ0041,Scope,Medium,426,287,35,0.8,Missed Dependency,UAT
PRJ0041_CR07,PRJ0041,Enhancement,Critical,250,675,25,2.4,Requirement Gap,UAT
PRJ0041_CR08,PRJ0041,Scope,Low,348,663,4,3.9,Compliance Change,DEV
PRJ0042_CR01,PRJ0042,Enhancement,Low,168,98,16,0.9,Compliance Change,UAT
PRJ0042_CR02,PRJ0042,Compliance,High,85,270,6,1.8,Requirement Gap,DEV
PRJ0043_CR01,PRJ0043,Enhancement,Medium,476,633,18,1.1,Compliance Change,PROD
PRJ0043_CR02,PRJ0043,Scope,Critical,206,544,0,3.5,Compliance Change,PROD
PRJ0043_CR03,PRJ0043,Defect,Medium,248,193,11,3.0,Compliance Change,PROD
PRJ0043_CR04,PRJ0043,Defect,Critical,500,397,2,1.5,Production Defect,DEV
