Project_ID,Predicted_Total_FTE,PM_Count,BA_Count,Python_SSE_Count,Python_Dev_Count,React_Dev_Count,Manual_Tester_Count,Automation_Tester_Count,DevOps_Count,Architect_Count,Actual_Effort_Hours,Schedule_Variance_Percent,Cost_Variance_Percent,Escaped_Defect_Count
PRJ0038,17,1,3,4,3,2,1,1,1,1,7445,27.36,9.49,28
PRJ0039,25,1,1,4,3,5,4,3,2,2,14389,-2.67,21.06,37
PRJ0040,24,2,3,5,3,5,2,1,1,2,24035,8.35,26.85,18
PRJ0041,24,2,2,5,5,3,1,3,2,1,30052,39.28,11.49,7
PRJ0042,21,1,2,2,5,2,2,3,2,2,20709,4.72,3.89,36
PRJ0043,23,2,1,2,6,4,3,2,1,2,21197,44.94,14.94,9
PRJ0044,20,2,3,1,5,2,4,1,1,1,33901,41.12,16.63,25
PRJ0045,25,1,2,5,5,4,2,2,2,2,6121,-1.8,5.43,5
PRJ0046,22,2,1,5,2,4,3,2,1,2,14645,44.27,31.09,17
PRJ0047,18,2,2,1,4,1,3,3,1,1,7400,39.38,26.68,23
PRJ0048,28,1,3,5,6,3,3,3,2,2,10069,13.57,23.48,2
PRJ0049,18,1,1,4,2,3,3,2,1,1,21251,39.15,20.55,23
PRJ0050,26,1,2,5,6,3,3,2,2,2,29697,10.02,18.68,36
PRJ0051,23,2,2,1,4,5,4,3,1,1,25188,41.21,5.87,23
PRJ0052,18,2,1,1,3,4,2,2,1,2,11941,35.74,-1.88,35
PRJ0053,23,2,3,5,5,2,2,1,1,2,22724,11.24,14.39,15
PRJ0054,21,1,2,3,3,4,3,3,1,1,24060,-3.38,18.97,38
PRJ0055,15,2,1,1,1,1,4,3,1,1,24159,18.73,-1.65,8
PRJ0056,22,1,3,3,6,2,3,1,1,2,18590,0.3,-0.96,27
PRJ0057,26,2,1,5,5,4,3,3,1,2,13856,28.98,31.9,27
PRJ0058,26,2,3,2,6,5,3,2,2,1,20744,20.63,14.83,21
PRJ0059,20,1,2,4,4,3,1,1,2,2,9581,31.26,6.57,2
PRJ0060,19,1,2,4,3,1,3,2,1,2,9055,11.49,11.87,0
PRJ0061,22,1,1,4,5,5,2,1,1,2,13917,-4.22,15.5,0
PRJ0062,22,1,1,5,1,5,3,3,1,2,10605,11.3,4.55,20
PRJ0063,19,2,2,3,1,4,2,1,2,2,21505,44.95,-2.39,19
PRJ0064,27,1,3,4,6,5,2,3,1,2,16626,3.24,1.26,9
PRJ0065,26,2,2,5,6,2,4,2,1,2,9787,40.42,10.72,9
PRJ0066,25,2,3,4,6,1,3,3,1,2,26651,29.9,10.78,34
PRJ0067,22,1,3,4,3,5,2,2,1,1,28701,37.05,15.08,23
PRJ0068,16,2,2,4,2,2,1,1,1,1,34119,17.51,29.41,28
PRJ0069,22,2,1,5,3,3,4,1,2,1,14395,20.77,22.52,35
PRJ0070,20,2,3,5,2,1,4,1,1,1,3896,35.29,25.27,27
PRJ0071,22,1,2,3,6,4,1,2,1,2,28125,0.54,6.48,8
PRJ0072,21,2,1,5,1,5,2,2,1,2,4941,26.83,13.72,12
PRJ0073,18,1,2,3,5,1,3,1,1,1,3654,7.0,26.29,25
PRJ0074,25,2,3,2,6,2,4,3,1,2,14012,18.14,26.87,25
PRJ0075,25,2,2,5,5,3,4,2,1,1,20151,5.07,18.64,25
PRJ0076,20,2,2,4,1,2,3,3,1,2,13551,4.97,20.02,6
PRJ0077,22,1,3,4,2,2,4,2,2,2,14911,30.04,30.19,20
PRJ0078,22,1,1,3,5,5,2,2,2,1,18800,17.89,33.79,32
PRJ0079,18,1,1,3,2,2,4,1,2,2,28572,15.64,9.32,24
PRJ0080,21,1,1,3,5,2,2,3,2,2,27871,44.94,30.37,13
PRJ0081,22,1,2,4,4,3,1,3,2,2,11570,-3.8,27.29,21
PRJ0082,26,1,3,2,6,5,3,2,2,2,34365,4.77,4.61,12
PRJ0083,17,1,1,3,4,2,3,1,1,1,12331,-1.73,2.49,8
PRJ0084,18,2,3,2,3,3,1,1,1,2,24040,-3.09,4.61,12
PRJ0085,29,2,3,5,5,5,4,2,1,2,18498,40.49,11.86,7
PRJ0086,21,2,2,4,6,2,1,2,1,1,5531,14.06,25.35,12
PRJ0087,26,2,2,5,6,2,2,3,2,2,18854,24.99,34.29,24
PRJ0088,20,2,1,2,6,3,3,1,1,1,15163,4.88,13.11,38
PRJ0089,19,2,2,5,1,4,1,1,2,1,8874,28.13,3.13,7
PRJ0090,24,2,3,3,6,4,2,1,2,1,13890,-4.52,7.11,0
PRJ0091,22,2,3,1,6,2,4,1,2,1,31263,23.85,-2.94,3
PRJ0092,20,2,3,4,2,4,2,1,1,1,21783,-0.27,19.53,24
PRJ0093,19,2,2,1,3,4,2,3,1,1,20660,8.66,30.02,14
PRJ0094,13,1,1,2,1,2,1,1,2,2,21135,17.43,3.4,33
PRJ0095,17,1,2,1,4,1,2,3,2,1,3357,44.15,1.51,31
PRJ0096,20,1,2,2,3,4,3,2,2,1,16668,22.33,10.03,30
PRJ0097,26,1,3,4,5,5,3,2,1,2,18509,39.92,8.21,3
PRJ0098,17,1,2,2,4,2,2,1,2,1,10684,8.38,32.67,38
PRJ0099,19,1,2,4,2,3,3,1,2,1,27711,35.54,24.03,4
PRJ0100,23,2,3,5,2,4,1,3,2,1,15159,29.81,13.14,3
PRJ0101,23,1,1,4,4,4,3,3,2,1,15688,0.22,10.78,21
PRJ0102,21,2,3,2,3,4,3,1,1,2,25776,33.43,14.0,8
PRJ0103,20,1,3,4,1,2,4,2,1,2,19078,14.01,32.59,23
PRJ0104,21,1,3,5,1,3,3,1,2,2,34268,40.29,0.77,5
PRJ0105,21,2,2,4,6,2,1,2,1,1,19981,30.5,1.8,7
PRJ0106,16,1,1,3,2,2,1,3,1,2,15942,24.82,7.32,20
PRJ0107,22,2,3,1,4,3,4,2,1,2,20744,13.98,23.55,8
PRJ0108,26,2,3,5,4,5,4,1,1,1,5285,18.84,8.6,15
PRJ0109,24,2,3,4,3,3,4,1,2,2,18520,38.86,22.79,28
PRJ0110,21,2,3,2,4,4,1,1,2,2,23872,35.37,30.25,29
PRJ0111,13,2,3,2,1,1,1,1,1,1,11271,5.02,15.26,18
PRJ0112,24,2,3,5,4,5,1,1,1,2,20876,31.64,5.8,6
PRJ0113,21,2,1,2,3,3,4,3,2,1,25272,40.62,-0.63,31
PRJ0114,22,2,3,4,5,2,1,2,1,2,24909,27.88,21.95,4
PRJ0115,22,2,3,1,6,3,1,3,2,1,5109,43.02,14.76,15
PRJ0116,20,2,1,2,6,2,2,3,1,1,11102,36.13,12.81,27
PRJ0117,20,1,2,4,3,1,3,3,1,2,13539,1.04,7.01,35
PRJ0118,18,1,1,3,3,5,1,1,2,1,19869,1.84,7.58,7
PRJ0119,18,2,1,2,1,3,4,2,2,1,22041,-2.27,15.45,14
PRJ0120,21,2,1,1,6,5,2,1,2,1,9432,17.61,18.96,1
