Project_ID,Role,Resource_Count,Location,Allocated_FTE,Avg_Experience_Years
PRJ0019,React Dev,5,Hyderabad,4.6,12.1
PRJ0019,Manual Tester,3,US,2.7,8.4
PRJ0019,Automation Tester,1,Kolkata,0.9,12.6
PRJ0019,DevOps,1,US,0.9,6.8
PRJ0019,Architect,2,Kolkata,1.8,8.8
PRJ0020,PM,2,Chennai,1.8,13.5
PRJ0020,BA,3,Hyderabad,2.9,6.1
PRJ0020,Python SSE,1,Bangalore,0.9,12.4
PRJ0020,Python Dev,6,US,5.6,10.3
PRJ0020,React Dev,2,Chennai,1.8,13.5
PRJ0020,Manual Tester,2,Bangalore,1.8,4.7
PRJ0020,Automation Tester,3,Bangalore,2.9,10.5
PRJ0020,DevOps,2,US,1.9,5.8
PRJ0020,Architect,2,Bangalore,1.8,13.2
PRJ0021,PM,1,Hyderabad,0.9,4.2
PRJ0021,BA,1,Pune,0.9,13.2
PRJ0021,Python SSE,5,Kolkata,4.3,4.8
PRJ0021,Python Dev,6,Bangalore,5.9,5.6
PRJ0021,React Dev,4,US,3.7,5.1
PRJ0021,Manual Tester,4,Bangalore,3.8,2.7
PRJ0021,Automation Tester,3,Kolkata,2.7,3.9
PRJ0021,DevOps,2,US,1.8,12.7
PRJ0021,Architect,1,US,1.0,10.3
PRJ0022,PM,1,Chennai,0.8,9.2
PRJ0022,BA,1,US,1.0,4.9
PRJ0022,Python SSE,4,Kolkata,3.5,4.8
PRJ0022,Python Dev,5,Pune,4.8,11.3
PRJ0022,React Dev,1,Pune,0.9,5.5
PRJ0022,Manual Tester,2,US,1.8,8.9
PRJ0022,Automation Tester,1,US,1.0,4.8
PRJ0022,DevOps,1,Pune,1.0,8.3
PRJ0022,Architect,1,Hyderabad,0.9,2.7
PRJ0023,PM,2,Kolkata,1.7,13.2
PRJ0023,BA,2,Chennai,1.9,5.5
PRJ0023,Python SSE,2,Pune,1.7,6.6
PRJ0023,Python Dev,3,Pune,2.7,9.9
PRJ0023,React Dev,3,US,2.6,11.2
PRJ0023,Manual Tester,4,Hyderabad,4.0,9.7
PRJ0023,Automation Tester,1,Hyderabad,0.9,10.8
PRJ0023,DevOps,1,Bangalore,0.8,10.6
PRJ0023,Architect,1,Hyderabad,0.8,12.7
PRJ0024,PM,2,Bangalore,1.7,6.8
PRJ0024,BA,1,Bangalore,1.0,7.5
PRJ0024,Python SSE,1,Pune,1.0,4.7
PRJ0024,Python Dev,1,US,1.0,3.0
PRJ0024,React Dev,5,US,4.8,3.1
PRJ0024,Manual Tester,2,Hyderabad,1.8,7.7
PRJ0024,Automation Tester,1,US,0.8,4.1
PRJ0024,DevOps,1,Hyderabad,1.0,9.7
PRJ0024,Architect,2,Bangalore,1.8,12.3
PRJ0025,PM,1,US,0.8,5.2
PRJ0025,BA,3,Hyderabad,2.8,9.6
PRJ0025,Python SSE,5,US,4.4,6.3
PRJ0025,Python Dev,6,Kolkata,4.8,5.7
PRJ0025,React Dev,4,Bangalore,3.8,3.2
PRJ0025,Manual Tester,1,Kolkata,0.8,7.4
PRJ0025,Automation Tester,3,Chennai,2.7,3.2
PRJ0025,DevOps,2,Kolkata,1.7,3.1
PRJ0025,Architect,1,Chennai,1.0,12.4
PRJ0026,PM,1,Bangalore,1.0,7.2
PRJ0026,BA,1,Kolkata,0.8,4.7
PRJ0026,Python SSE,2,US,1.8,9.0
PRJ0026,Python Dev,6,Chennai,5.1,6.5
PRJ0026,React Dev,3,Hyderabad,2.9,9.1
PRJ0026,Manual Tester,2,Chennai,1.7,14.0
PRJ0026,Automation Tester,3,Hyderabad,2.5,7.0
PRJ0026,DevOps,1,Kolkata,0.8,13.3
PRJ0026,Architect,2,Pune,1.7,6.1
PRJ0027,PM,2,Pune,1.7,7.4
PRJ0027,BA,3,Kolkata,2.9,13.4
PRJ0027,Python SSE,5,Hyderabad,4.1,11.8
PRJ0027,Python Dev,6,Chennai,5.4,7.9
PRJ0027,React Dev,2,US,1.8,10.5
PRJ0027,Manual Tester,2,Hyderabad,1.8,3.0
PRJ0027,Automation Tester,2,Kolkata,1.9,4.6
PRJ0027,DevOps,2,Kolkata,1.7,8.5
PRJ0027,Architect,1,Pune,1.0,8.8
PRJ0028,PM,2,Pune,2.0,11.4
PRJ0028,BA,3,Kolkata,3.0,12.4
PRJ0028,Python SSE,5,Pune,4.7,3.6
PRJ0028,Python Dev,2,Pune,1.9,11.9
PRJ0028,React Dev,3,US,2.6,3.7
PRJ0028,Manual Tester,3,US,2.6,7.0
PRJ0028,Automation Tester,2,Hyderabad,1.6,11.5
PRJ0028,DevOps,2,Kolkata,1.8,11.0
PRJ0028,Architect,1,US,1.0,6.4
PRJ0029,PM,1,US,0.8,3.1
PRJ0029,BA,2,Pune,1.8,3.6
PRJ0029,Python SSE,2,Pune,1.8,7.3
PRJ0029,Python Dev,1,Kolkata,0.9,11.8
PRJ0029,React Dev,4,Hyderabad,3.8,7.7
PRJ0029,Manual Tester,3,Pune,2.6,10.8
PRJ0029,Automation Tester,3,Kolkata,2.5,6.4
PRJ0029,DevOps,1,Bangalore,0.8,11.3
PRJ0029,Architect,2,Pune,1.9,10.1
PRJ0030,PM,2,Kolkata,1.6,2.8
PRJ0030,BA,2,Bangalore,1.7,13.1
PRJ0030,Python SSE,2,Hyderabad,1.8,9.5
PRJ0030,Python Dev,4,Chennai,3.8,7.1
PRJ0030,React Dev,5,Hyderabad,4.1,8.4
PRJ0030,Manual Tester,4,Chennai,3.3,3.0
PRJ0030,Automation Tester,2,Kolkata,1.8,4.4
PRJ0030,DevOps,1,Pune,0.9,6.7
PRJ0030,Architect,2,US,1.9,9.8
PRJ0031,PM,1,Chennai,1.0,10.6
PRJ0031,BA,1,US,0.9,5.9
PRJ0031,Python SSE,1,Hyderabad,1.0,5.8
PRJ0031,Python Dev,4,Kolkata,3.7,3.4
PRJ0031,React Dev,3,US,2.9,4.2
PRJ0031,Manual Tester,4,Chennai,4.0,13.4
PRJ0031,Automation Tester,1,Kolkata,1.0,12.4
PRJ0031,DevOps,1,Bangalore,0.9,8.6
PRJ0031,Architect,1,Kolkata,0.9,5.5
PRJ0032,PM,1,Pune,0.8,6.9
PRJ0032,BA,3,Hyderabad,2.7,8.6
PRJ0032,Python SSE,2,Kolkata,1.8,11.6
PRJ0032,Python Dev,3,Pune,2.5,2.7
PRJ0032,React Dev,4,Pune,3.3,11.9
PRJ0032,Manual Tester,1,Bangalore,0.9,13.3
PRJ0032,Automation Tester,3,Kolkata,2.7,5.1
PRJ0032,DevOps,2,Kolkata,1.6,2.8
PRJ0032,Architect,2,US,1.8,3.5
PRJ0033,PM,1,Chennai,0.9,6.7
PRJ0033,BA,3,Pune,2.4,9.2
PRJ0033,Python SSE,5,Kolkata,4.9,11.3
PRJ0033,Python Dev,1,Kolkata,1.0,7.7
PRJ0033,React Dev,4,Bangalore,3.8,14.0
PRJ0033,Manual Tester,3,Pune,2.5,9.9
PRJ0033,Automation Tester,2,Bangalore,1.8,11.5
PRJ0033,DevOps,2,US,1.6,14.0
PRJ0033,Architect,2,Pune,1.8,13.8
PRJ0034,PM,1,US,0.9,4.1
PRJ0034,BA,3,Bangalore,2.8,5.5
PRJ0034,Python SSE,4,Pune,3.8,13.4
PRJ0034,Python Dev,6,Chennai,5.3,13.9
PRJ0034,React Dev,4,Chennai,3.2,9.2
PRJ0034,Manual Tester,3,Chennai,2.5,8.8
PRJ0034,Automation Tester,1,Hyderabad,0.8,10.9
PRJ0034,DevOps,2,Pune,1.7,5.8
PRJ0034,Architect,1,US,1.0,3.1
PRJ0035,PM,2,Hyderabad,1.6,7.3
PRJ0035,BA,1,Bangalore,0.8,5.2
PRJ0035,Python SSE,5,Kolkata,4.2,10.4
PRJ0035,Python Dev,4,Kolkata,3.3,6.1
PRJ0035,React Dev,2,Chennai,1.8,11.1
PRJ0035,Manual Tester,3,Pune,2.7,12.1
PRJ0035,Automation Tester,2,Chennai,1.8,8.4
PRJ0035,DevOps,2,Hyderabad,1.8,4.8
PRJ0035,Architect,1,Bangalore,0.8,12.8
PRJ0036,PM,1,Bangalore,0.9,5.3
PRJ0036,BA,1,Hyderabad,0.9,9.6
PRJ0036,Python SSE,2,Kolkata,1.9,4.9
PRJ0036,Python Dev,2,Hyderabad,1.8,4.1
PRJ0036,React Dev,1,Hyderabad,0.9,6.2
PRJ0036,Manual Tester,2,Pune,1.9,5.1
PRJ0036,Automation Tester,1,US,0.8,2.3
PRJ0036,DevOps,2,Kolkata,1.7,8.9
PRJ0036,Architect,1,Pune,1.0,9.8
PRJ0037,PM,2,Hyderabad,2.0,8.0
PRJ0037,BA,2,US,1.8,5.6
PRJ0037,Python SSE,5,Kolkata,4.9,3.8
PRJ0037,Python Dev,3,Pune,2.6,13.8
PRJ0037,React Dev,4,Hyderabad,3.3,12.3
PRJ0037,Manual Tester,1,Pune,1.0,7.9
PRJ0037,Automation Tester,2,US,2.0,5.8
PRJ0037,DevOps,1,Kolkata,0.8,5.3
PRJ0037,Architect,1,Pune,0.9,3.9
PRJ0038,PM,1,Chennai,0.9,3.8
PRJ0038,BA,3,Kolkata,2.9,2.9
PRJ0038,Python SSE,4,US,3.3,5.1
PRJ0038,Python Dev,3,Pune,2.7,13.7
PRJ0038,React Dev,2,Bangalore,1.8,3.2
PRJ0038,Manual Tester,1,Pune,1.0,12.2
PRJ0038,Automation Tester,1,Bangalore,1.0,5.8
PRJ0038,DevOps,1,US,0.8,12.2
PRJ0038,Architect,1,Kolkata,0.8,3.7
PRJ0039,PM,1,Kolkata,0.8,9.9
PRJ0039,BA,1,Kolkata,0.9,12.0
PRJ0039,Python SSE,4,Bangalore,3.6,6.5
PRJ0039,Python Dev,3,Kolkata,2.4,4.0
PRJ0039,React Dev,5,Pune,4.8,10.9
PRJ0039,Manual Tester,4,Hyderabad,3.3,9.3
PRJ0039,Automation Tester,3,Pune,2.5,12.2
PRJ0039,DevOps,2,Pune,1.8,11.4
PRJ0039,Architect,2,US,1.7,11.1
PRJ0040,PM,2,US,1.7,10.1
PRJ0040,BA,3,US,2.8,13.5
PRJ0040,Python SSE,5,Chennai,4.5,9.6
PRJ0040,Python Dev,3,US,2.5,6.2
PRJ0040,React Dev,5,Hyderabad,4.6,13.3
PRJ0040,Manual Tester,2,US,1.8,11.0
PRJ0040,Automation Tester,1,Chennai,0.9,12.2
PRJ0040,DevOps,1,Kolkata,0.9,2.3
PRJ0040,Architect,2,Pune,1.6,2.7
PRJ0041,PM,2,Pune,1.8,11.4
PRJ0041,BA,2,Pune,1.8,8.4
PRJ0041,Python SSE,5,Kolkata,4.3,12.6
PRJ0041,Python Dev,5,US,4.3,6.3
PRJ0041,React Dev,3,Pune,3.0,9.4
PRJ0041,Manual Tester,1,Hyderabad,1.0,11.9
PRJ0041,Automation Tester,3,US,2.4,10.0
PRJ0041,DevOps,2,Hyderabad,1.7,9.7
PRJ0041,Architect,1,Chennai,0.8,2.5
PRJ0042,PM,1,US,0.8,10.1
PRJ0042,BA,2,US,1.9,13.5
PRJ0042,Python SSE,2,Kolkata,1.8,8.7
PRJ0042,Python Dev,5,Kolkata,4.0,8.9
PRJ0042,React Dev,2,Hyderabad,1.8,13.4
PRJ0042,Manual Tester,2,Bangalore,1.7,10.9
PRJ0042,Automation Tester,3,US,2.6,7.0
PRJ0042,DevOps,2,US,1.9,3.7
PRJ0042,Architect,2,Pune,1.7,12.0
PRJ0043,PM,2,Hyderabad,1.8,6.3
PRJ0043,BA,1,Bangalore,0.9,3.3
PRJ0043,Python SSE,2,US,1.8,12.1
PRJ0043,Python Dev,6,Pune,5.9,4.4
PRJ0043,React Dev,4,US,3.9,2.9
PRJ0043,Manual Tester,3,Kolkata,2.9,12.2
PRJ0043,Automation Tester,2,US,1.6,9.0
PRJ0043,DevOps,1,Hyderabad,1.0,4.6
PRJ0043,Architect,2,Kolkata,1.8,8.5
PRJ0044,PM,2,Chennai,1.9,4.5
PRJ0044,BA,3,Pune,2.5,9.2
PRJ0044,Python SSE,1,Kolkata,0.9,7.0
PRJ0044,Python Dev,5,Bangalore,4.7,7.8
PRJ0044,React Dev,2,Hyderabad,1.8,9.1
PRJ0044,Manual Tester,4,US,3.9,2.3
PRJ0044,Automation Tester,1,Kolkata,0.8,9.1
PRJ0044,DevOps,1,Pune,0.9,2.5
PRJ0044,Architect,1,Chennai,0.8,4.0
PRJ0045,PM,1,Bangalore,0.9,11.3
PRJ0045,BA,2,Hyderabad,1.9,12.3
PRJ0045,Python SSE,5,US,4.1,4.8
PRJ0045,Python Dev,5,US,4.9,3.2
PRJ0045,React Dev,4,Chennai,3.5,6.1
PRJ0045,Manual Tester,2,Chennai,1.8,10.2
PRJ0045,Automation Tester,2,Kolkata,1.7,13.6
PRJ0045,DevOps,2,Kolkata,1.9,11.9
PRJ0045,Architect,2,Hyderabad,2.0,7.2
PRJ0046,PM,2,Pune,2.0,10.2
PRJ0046,BA,1,Pune,0.9,4.4
PRJ0046,Python SSE,5,US,4.2,5.2
PRJ0046,Python Dev,2,Pune,1.7,5.0
PRJ0046,React Dev,4,Chennai,3.5,11.3
PRJ0046,Manual Tester,3,Kolkata,3.0,10.1
PRJ0046,Automation Tester,2,US,1.8,2.1
PRJ0046,DevOps,1,Chennai,1.0,12.2
PRJ0046,Architect,2,Bangalore,1.8,7.9
PRJ0047,PM,2,Bangalore,1.7,10.1
PRJ0047,BA,2,Hyderabad,1.9,7.4
PRJ0047,Python SSE,1,Kolkata,0.9,5.4
PRJ0047,Python Dev,4,US,4.0,12.4
PRJ0047,React Dev,1,US,1.0,6.0
PRJ0047,Manual Tester,3,US,2.8,6.9
PRJ0047,Automation Tester,3,Kolkata,2.4,6.1
PRJ0047,DevOps,1,Bangalore,0.9,5.5
PRJ0047,Architect,1,Bangalore,0.9,6.7
PRJ0048,PM,1,Pune,1.0,4.2
PRJ0048,BA,3,Bangalore,2.5,7.5
PRJ0048,Python SSE,5,Hyderabad,4.3,9.5
PRJ0048,Python Dev,6,Pune,5.2,3.8
PRJ0048,React Dev,3,Chennai,2.4,13.7
PRJ0048,Manual Tester,3,Bangalore,2.6,10.6
PRJ0048,Automation Tester,3,US,2.4,3.1
PRJ0048,DevOps,2,Kolkata,1.8,6.1
PRJ0048,Architect,2,Bangalore,1.9,8.0
PRJ0049,PM,1,US,0.9,10.7
PRJ0049,BA,1,Bangalore,1.0,7.8
PRJ0049,Python SSE,4,Hyderabad,3.6,8.5
PRJ0049,Python Dev,2,Hyderabad,1.7,4.2
PRJ0049,React Dev,3,Bangalore,2.6,7.6
PRJ0049,Manual Tester,3,Chennai,2.9,8.7
PRJ0049,Automation Tester,2,Kolkata,1.8,7.4
PRJ0049,DevOps,1,Bangalore,0.9,7.4
PRJ0049,Architect,1,US,0.9,10.8
PRJ0050,PM,1,Kolkata,0.9,13.8
PRJ0050,BA,2,Chennai,1.6,3.6
PRJ0050,Python SSE,5,Bangalore,4.0,13.8
PRJ0050,Python Dev,6,Pune,5.8,2.3
PRJ0050,React Dev,3,US,2.9,13.0
PRJ0050,Manual Tester,3,Chennai,2.7,13.1
PRJ0050,Automation Tester,2,Pune,1.6,7.5
PRJ0050,DevOps,2,Pune,1.7,6.4
PRJ0050,Architect,2,Chennai,1.7,5.1
PRJ0051,PM,2,Hyderabad,1.8,7.9
PRJ0051,BA,2,US,1.8,8.7
PRJ0051,Python SSE,1,US,0.9,4.9
PRJ0051,Python Dev,4,Bangalore,3.8,5.9
PRJ0051,React Dev,5,Chennai,4.1,10.1
PRJ0051,Manual Tester,4,Hyderabad,3.5,4.3
PRJ0051,Automation Tester,3,Bangalore,2.8,2.3
PRJ0051,DevOps,1,Bangalore,0.8,6.2
PRJ0051,Architect,1,Hyderabad,0.9,7.3
PRJ0052,PM,2,Hyderabad,1.9,8.4
PRJ0052,BA,1,Pune,0.8,13.6
PRJ0052,Python SSE,1,Chennai,1.0,2.3
PRJ0052,Python Dev,3,Pune,3.0,5.7
PRJ0052,React Dev,4,Hyderabad,3.5,3.9
PRJ0052,Manual Tester,2,Bangalore,1.9,6.3
PRJ0052,Automation Tester,2,Bangalore,1.7,13.7
PRJ0052,DevOps,1,Chennai,0.9,2.7
PRJ0052,Architect,2,Bangalore,2.0,12.7
PRJ0053,PM,2,Kolkata,1.9,7.7
PRJ0053,BA,3,Chennai,2.9,7.6
PRJ0053,Python SSE,5,US,4.4,12.2
PRJ0053,Python Dev,5,Hyderabad,4.5,4.0
PRJ0053,React Dev,2,Pune,1.6,11.2
PRJ0053,Manual Tester,2,Kolkata,2.0,13.4
PRJ0053,Automation Tester,1,Pune,0.9,13.9
PRJ0053,DevOps,1,Pune,0.8,13.1
PRJ0053,Architect,2,Hyderabad,1.9,7.9
PRJ0054,PM,1,Pune,1.0,2.0
PRJ0054,BA,2,Bangalore,1.6,8.0
PRJ0054,Python SSE,3,Hyderabad,2.7,2.1
PRJ0054,Python Dev,3,Hyderabad,2.5,9.1
PRJ0054,React Dev,4,Hyderabad,3.6,7.3
PRJ0054,Manual Tester,3,Chennai,2.8,4.9
PRJ0054,Automation Tester,3,Chennai,2.6,9.5
PRJ0054,DevOps,1,Pune,0.8,3.8
PRJ0054,Architect,1,US,0.9,3.7
PRJ0055,PM,2,Chennai,2.0,7.0
PRJ0055,BA,1,Bangalore,0.9,11.7
PRJ0055,Python SSE,1,Pune,0.8,4.4
PRJ0055,Python Dev,1,Bangalore,0.9,2.8
PRJ0055,React Dev,1,Bangalore,0.9,5.9
PRJ0055,Manual Tester,4,Kolkata,3.3,6.0
PRJ0055,Automation Tester,3,Hyderabad,2.8,9.4
PRJ0055,DevOps,1,Kolkata,1.0,4.3
PRJ0055,Architect,1,Bangalore,1.0,7.7
PRJ0056,PM,1,Bangalore,0.9,11.3
PRJ0056,BA,3,US,2.5,3.8
PRJ0056,Python SSE,3,Bangalore,2.5,13.5
PRJ0056,Python Dev,6,Chennai,5.4,4.5
PRJ0056,React Dev,2,Bangalore,1.8,5.3
PRJ0056,Manual Tester,3,US,2.9,8.9
PRJ0056,Automation Tester,1,Pune,0.8,9.4
PRJ0056,DevOps,1,Bangalore,0.9,2.6
PRJ0056,Architect,2,Kolkata,1.8,10.1
PRJ0057,PM,2,Pune,1.7,6.9
PRJ0057,BA,1,Chennai,0.8,11.8
PRJ0057,Python SSE,5,Hyderabad,4.3,9.7
PRJ0057,Python Dev,5,Kolkata,4.1,11.8
PRJ0057,React Dev,4,Chennai,3.9,9.6
PRJ0057,Manual Tester,3,Kolkata,2.9,9.9
PRJ0057,Automation Tester,3,Hyderabad,2.7,6.7
PRJ0057,DevOps,1,Chennai,0.9,4.5
PRJ0057,Architect,2,Bangalore,1.7,11.5
PRJ0058,PM,2,Kolkata,1.8,10.5
